State,Population
Alabama,"50,74,296"
Alaska,"7,33,583"
Arizona,"73,59,197"
Arkansas,"30,45,637"
California,"3,90,29,342"
Colorado,"58,39,926"
Connecticut,"36,26,205"
Delaware,"10,18,396"
District of Columbia,"6,71,803"
Florida,"2,22,44,823"
Georgia,"1,09,12,876"
Hawaii,"14,40,196"
Idaho,"19,39,033"
Illinois,"1,25,82,032"
Indiana,"68,33,037"
Iowa,"32,00,517"
Kansas,"29,37,150"
Kentucky,"45,12,310"
Louisiana,"45,90,241"
Maine,"13,85,340"
Maryland,"61,64,660"
Massachusetts,"69,81,974"
Michigan,"1,00,34,113"
Minnesota,"57,17,184"
Mississippi,"29,40,057"
Missouri,"61,77,957"
Montana,"11,22,867"
Nebraska,"19,67,923"
Nevada,"31,77,772"
New Hampshire,"13,95,231"
New Jersey,"92,61,699"
New Mexico,"21,13,344"
New York,"1,96,77,151"
North Carolina,"1,06,98,973"
North Dakota,"7,79,261"
Ohio,"1,17,56,058"
Oklahoma,"40,19,800"
Oregon,"42,40,137"
Pennsylvania,"1,29,72,008"
Rhode Island,"10,93,734"
South Carolina,"52,82,634"
South Dakota,"9,09,824"
Tennessee,"70,51,339"
Texas,"3,00,29,572"
Utah,"33,80,800"
Vermont,"6,47,064"
Virginia,"86,83,619"
Washington,"77,85,786"
West Virginia,"17,75,156"
Wisconsin,"58,92,539"
Wyoming,"5,81,381"
Puerto Rico,"32,21,789"
